date,action,quantity,reason,price
2025-01-17,TradeAction.BUY,2791,动量突破 + 成交量放大 (动量=12.22%),21.49
2025-01-24,TradeAction.SELL,2791,止损 (亏损-3.07%),20.83
2025-02-11,TradeAction.BUY,2805,动量突破 + 成交量放大 (动量=8.71%),20.97
2025-02-12,TradeAction.SELL,2805,止盈 (盈利7.20%),22.48
2025-02-13,TradeAction.BUY,2540,动量突破 + 成交量放大 (动量=24.51%),24.13
2025-02-14,TradeAction.SELL,2540,止损 (亏损-2.20%),23.6
2025-02-18,TradeAction.BUY,2205,动量突破 + 成交量放大 (动量=38.54%),27.39
2025-02-19,TradeAction.SELL,2205,止损 (亏损-6.10%),25.72
2025-03-13,TradeAction.BUY,2452,动量突破 + 成交量放大 (动量=14.22%),23.7
2025-03-17,TradeAction.SELL,2452,止盈 (盈利8.40%),25.69
2025-06-10,TradeAction.BUY,2762,动量突破 + 成交量放大 (动量=8.82%),22.08
2025-06-11,TradeAction.SELL,2762,止损 (亏损-6.34%),20.68
2025-06-24,TradeAction.BUY,2598,动量突破 + 成交量放大 (动量=8.73%),22.55
2025-07-02,TradeAction.SELL,2598,止损 (亏损-2.97%),21.88
2025-08-12,TradeAction.BUY,2635,动量突破 + 成交量放大 (动量=8.02%),21.81
2025-08-14,TradeAction.SELL,2635,止盈 (盈利9.40%),23.86
2025-08-15,TradeAction.BUY,2469,动量突破 + 成交量放大 (动量=23.11%),24.56
2025-08-18,TradeAction.SELL,2469,止损 (亏损-3.66%),23.66
2025-08-19,TradeAction.BUY,2340,动量突破 + 成交量放大 (动量=16.05%),25.31
2025-08-20,TradeAction.SELL,2340,止损 (亏损-6.99%),23.54
2025-09-18,TradeAction.BUY,1854,动量突破 + 成交量放大 (动量=24.22%),30.57
2025-09-19,TradeAction.SELL,1854,止损 (亏损-3.24%),29.58
2025-09-24,TradeAction.BUY,1778,动量突破 + 成交量放大 (动量=25.38%),31.22
2025-09-25,TradeAction.SELL,1778,止盈 (盈利8.87%),33.99
2025-09-26,TradeAction.BUY,1645,动量突破 + 成交量放大 (动量=20.01%),35.5
2025-09-29,TradeAction.SELL,1645,止损 (亏损-2.87%),34.48
2025-10-24,TradeAction.BUY,1497,动量突破 + 成交量放大 (动量=3.43%),38.28
2025-10-28,TradeAction.SELL,1497,止盈 (盈利8.49%),41.53
