date,action,symbol,quantity,price,commission,total
2025-01-06,BUY,TSLA,401,149.43,59.92143,59981.35143
2025-01-07,SELL,TSLA,401,140.14,56.19613999999999,56252.33613999999
2025-04-09,BUY,TSLA,504,114.33,57.62232,57679.94232
2025-04-10,SELL,TSLA,504,107.57,54.21528,54269.495279999996
2025-05-13,BUY,TSLA,427,129.93,55.48011,55535.59011
2025-05-21,SELL,TSLA,427,131.8,56.278600000000004,56334.878600000004
2025-05-29,BUY,TSLA,402,139.19,55.95438,56010.33438
2025-05-30,SELL,TSLA,402,135.13,54.32225999999999,54376.582259999996
2025-06-25,BUY,TSLA,356,154.31,54.934360000000005,54989.29436
2025-07-09,SELL,TSLA,356,162.88,57.98528,58043.26528
2025-08-27,BUY,TSLA,312,181.6,56.6592,56715.8592
2025-08-29,SELL,TSLA,312,174.18,54.34416,54398.504160000004
2025-09-22,BUY,TSLA,300,183.61,55.083000000000006,55138.083000000006
2025-09-23,SELL,TSLA,300,178.43,53.529,53582.529
2025-10-28,BUY,TSLA,269,201.03,54.07707,54131.14707
2025-11-05,SELL,TSLA,269,195.21,52.51149000000001,52564.00149
