date,open,high,low,close,volume
2024-11-14,147.64,149.0,145.55,146.76,194463301
2024-11-15,144.87,145.24,140.08,141.98,250132869
2024-11-18,139.5,141.55,137.15,140.15,221865993
2024-11-19,141.32,147.13,140.99,147.01,227834912
2024-11-20,147.41,147.56,142.73,145.89,309871654
2024-11-21,149.35,152.89,140.7,146.67,400946570
2024-11-22,145.93,147.16,141.1,141.95,236406154
2024-11-25,141.99,142.05,135.82,136.02,344941875
2024-11-26,137.7,139.3,135.67,136.92,190287654
2024-11-27,135.01,137.22,131.8,135.34,226370912
2024-11-29,136.78,139.35,136.05,138.25,141863156
2024-12-02,138.83,140.45,137.825,138.63,171682777
2024-12-03,138.26,140.54,137.95,140.26,164413965
2024-12-04,141.995,145.79,140.29,145.14,231224295
2024-12-05,145.11,146.54,143.95,145.06,172621180
2024-12-06,144.6,145.7,141.31,142.44,188505573
2024-12-09,138.97,139.95,137.13,138.81,189308625
2024-12-10,139.01,141.82,133.79,135.07,210020888
2024-12-11,137.36,140.17,135.21,139.31,184905192
2024-12-12,137.08,138.44,135.8,137.34,159211393
2024-12-13,138.94,139.6,132.54,134.25,231514881
2024-12-16,134.18,134.4,130.42,132.0,237951130
2024-12-17,129.09,131.59,126.86,130.39,259410263
2024-12-18,133.86,136.7,128.28,128.91,277444533
2024-12-19,131.76,134.03,129.55,130.68,209719210
2024-12-20,129.81,135.28,128.22,134.7,306528553
2024-12-23,136.28,139.79,135.1201,139.67,176053506
2024-12-24,140.0,141.9,138.65,140.22,105156989
2024-12-26,139.7,140.85,137.73,139.93,116519090
2024-12-27,138.55,139.02,134.71,137.01,170582603
2024-12-30,134.83,140.27,134.02,137.49,167734700
2024-12-31,138.03,138.07,133.83,134.29,155659211
2025-01-02,136.0,138.88,134.63,138.31,198247166
2025-01-03,140.01,144.9,139.73,144.47,229322478
2025-01-06,148.59,152.156,147.8201,149.43,265377359
2025-01-07,153.03,153.13,140.01,140.14,351782174
2025-01-08,142.58,143.95,137.56,140.11,227349948
2025-01-10,137.45,139.92,134.22,135.91,207602514
2025-01-13,129.99,133.49,129.51,133.23,204808914
2025-01-14,136.05,136.38,130.05,131.76,195590485
2025-01-15,133.65,136.45,131.29,136.24,185217338
2025-01-16,138.64,138.75,133.49,133.57,209235583
2025-01-17,136.69,138.5,135.4649,137.71,201188760
2025-01-21,139.16,141.83,137.09,140.83,197748985
2025-01-22,144.66,147.79,143.67,147.07,237651395
2025-01-23,145.05,147.23,143.72,147.22,155915549
2025-01-24,148.37,148.97,141.88,142.62,234657635
2025-01-27,124.8,128.4,116.7,118.42,818830895
2025-01-28,121.81,129.0,116.25,128.99,579666350
2025-01-29,126.5,126.89,120.05,123.7,467120640
2025-01-30,123.1,125.0,118.1,124.65,392925469
2025-01-31,123.78,127.85,119.19,120.07,390372899
2025-02-03,114.75,118.57,113.01,116.66,371235677
2025-02-04,116.96,121.2,116.7,118.65,256550040
2025-02-05,121.76,125.0,120.76,124.83,263110629
2025-02-06,127.42,128.77,125.21,128.68,251483574
2025-02-07,129.22,130.37,125.0,129.84,228186298
2025-02-10,130.09,135.0,129.96,133.57,216989086
2025-02-11,132.58,134.48,131.02,132.8,178902379
2025-02-12,130.02,132.24,129.08,131.14,160278552
2025-02-13,131.555,136.5,131.17,135.29,197429975
2025-02-14,136.48,139.25,135.5,138.85,195479557
2025-02-18,141.27,143.44,137.925,139.4,219176627
2025-02-19,139.51,141.36,137.22,139.23,167536006
2025-02-20,140.03,140.66,136.7901,140.11,143903583
2025-02-21,140.04,141.46,134.03,134.43,228217585
2025-02-24,136.56,138.59,130.08,130.28,251381137
2025-02-25,129.98,130.2,124.44,126.63,271428711
2025-02-26,129.985,133.73,128.49,131.28,322553814
2025-02-27,135.0,135.01,120.01,120.15,443175846
2025-02-28,118.02,125.09,116.4,124.92,389091145
2025-03-03,123.51,123.7,112.28,114.06,411381373
2025-03-04,110.645,119.31,110.11,115.99,398163305
2025-03-05,117.58,118.2781,114.51,117.3,284337886
2025-03-06,113.53,115.35,110.22,110.57,321181861
2025-03-07,111.25,113.48,107.56,112.69,341755468
2025-03-10,109.9,111.85,105.46,106.98,361107562
2025-03-11,106.99,112.236,104.77,108.76,354865692
2025-03-12,114.12,116.76,112.88,115.74,323857454
2025-03-13,117.03,117.76,113.79,115.58,299033131
2025-03-14,118.61,121.88,118.15,121.67,277593455
2025-03-17,122.74,122.89,118.03,119.53,255501481
2025-03-18,118.0,119.02,114.54,115.43,299686944
2025-03-19,117.27,120.445,115.68,117.52,273426225
2025-03-20,116.55,120.2,116.47,118.53,248829749
2025-03-21,116.94,117.99,115.42,117.7,266498528
2025-03-24,119.88,122.22,119.34,121.41,228452534
2025-03-25,120.545,121.29,118.92,120.69,167447198
2025-03-26,118.73,118.84,112.71,113.76,296431667
2025-03-27,111.35,114.45,110.66,111.43,236902055
2025-03-28,111.485,112.87,109.0701,109.67,229872549
2025-03-31,105.13,110.955,103.65,108.38,299212653
2025-04-01,108.515,110.2,106.47,110.15,222614034
2025-04-02,107.29,111.98,106.79,110.42,220601243
2025-04-03,103.51,105.63,101.6,101.8,338769412
2025-04-04,98.91,100.13,92.11,94.31,532273810
2025-04-07,87.46,101.75,86.62,97.64,611041347
2025-04-08,103.805,105.85,94.46,96.3,476243392
2025-04-09,98.89,115.1,97.5301,114.33,612918336
2025-04-10,109.37,110.86,99.15,107.57,437812353
2025-04-11,108.5,111.5499,107.48,110.93,313417265
2025-04-14,114.11,114.29,109.07,110.71,264705049
2025-04-15,110.97,113.615,110.5,112.2,228966900
