date,action,quantity,reason,price
2010-08-23,TradeAction.BUY,2980,动量突破 + 成交量放大 (动量=7.19%),20.13
2010-08-24,TradeAction.SELL,2980,止损 (亏损-4.62%),19.2
2010-09-15,TradeAction.BUY,2650,动量突破 + 成交量放大 (动量=5.17%),21.98
2010-09-16,TradeAction.SELL,2650,止损 (亏损-4.73%),20.94
2010-09-28,TradeAction.BUY,2642,动量突破 + 成交量放大 (动量=3.03%),21.4
2010-09-30,TradeAction.SELL,2642,止损 (亏损-4.65%),20.405
2010-11-04,TradeAction.BUY,2204,动量突破 + 成交量放大 (动量=17.51%),24.9
2010-11-10,TradeAction.SELL,2204,止盈 (盈利17.91%),29.36
2010-11-11,TradeAction.BUY,2166,动量突破 + 成交量放大 (动量=12.59%),28.035
2010-11-12,TradeAction.SELL,2166,止盈 (盈利6.44%),29.84
2010-11-15,TradeAction.BUY,2045,动量突破 + 成交量放大 (动量=23.30%),30.8
2010-11-16,TradeAction.SELL,2045,止损 (亏损-3.67%),29.67
2010-11-22,TradeAction.BUY,1842,动量突破 + 成交量放大 (动量=8.44%),33.4
2010-11-24,TradeAction.SELL,1842,止盈 (盈利6.20%),35.47
2010-11-30,TradeAction.BUY,1804,动量突破 + 成交量放大 (动量=5.78%),35.33
2010-12-01,TradeAction.SELL,1804,止损 (亏损-2.77%),34.35
2011-02-16,TradeAction.BUY,2531,动量突破 + 成交量放大 (动量=6.55%),24.73
2011-02-17,TradeAction.SELL,2531,止损 (亏损-4.57%),23.6
2011-03-30,TradeAction.BUY,2565,动量突破 + 成交量放大 (动量=6.75%),23.71
2011-03-31,TradeAction.SELL,2565,止盈 (盈利17.04%),27.75
2011-04-01,TradeAction.BUY,2511,动量突破 + 成交量放大 (动量=17.19%),26.66
2011-04-04,TradeAction.SELL,2511,止损 (亏损-3.11%),25.83
2011-04-05,TradeAction.BUY,2458,动量突破 + 成交量放大 (动量=11.62%),26.7
2011-04-11,TradeAction.SELL,2458,止损 (亏损-5.36%),25.27
2011-05-10,TradeAction.BUY,2239,动量突破 + 成交量放大 (动量=5.43%),28.33
2011-05-11,TradeAction.SELL,2239,止损 (亏损-4.45%),27.07
2011-05-25,TradeAction.BUY,2128,动量突破 + 成交量放大 (动量=9.98%),28.98
2011-06-06,TradeAction.SELL,2128,动量转负 (-2.88%),28.7
2011-09-16,TradeAction.BUY,2373,动量突破 + 成交量放大 (动量=12.32%),25.8
2011-09-28,TradeAction.SELL,2373,止损 (亏损-4.69%),24.59
2011-10-05,TradeAction.BUY,2343,动量突破 + 成交量放大 (动量=3.17%),25.37
2011-10-06,TradeAction.SELL,2343,止盈 (盈利6.27%),26.96
2011-10-07,TradeAction.BUY,2282,动量突破 + 成交量放大 (动量=10.66%),26.99
2011-10-18,TradeAction.SELL,2282,止盈 (盈利5.00%),28.34
