date,action,symbol,quantity,price,commission,total
2010-08-23,BUY,TSLA,2980,20.13,59.987399999999994,60047.38739999999
2010-08-24,SELL,TSLA,2980,19.2,57.216,57273.216
2010-09-15,BUY,TSLA,2650,21.98,58.247,58305.247
2010-09-16,SELL,TSLA,2650,20.94,55.491,55546.491
2010-09-28,BUY,TSLA,2642,21.4,56.538799999999995,56595.3388
2010-09-30,SELL,TSLA,2642,20.405,53.91001,53963.92001
2010-11-04,BUY,TSLA,2204,24.9,54.879599999999996,54934.4796
2010-11-10,SELL,TSLA,2204,29.36,64.70944,64774.14944
2010-11-11,BUY,TSLA,2166,28.035,60.72381,60784.53381
2010-11-12,SELL,TSLA,2166,29.84,64.63344000000001,64698.07344
2010-11-15,BUY,TSLA,2045,30.8,62.986000000000004,63048.986
2010-11-16,SELL,TSLA,2045,29.67,60.67515,60735.825150000004
2010-11-22,BUY,TSLA,1842,33.4,61.5228,61584.322799999994
2010-11-24,SELL,TSLA,1842,35.47,65.33574,65401.07574
2010-11-30,BUY,TSLA,1804,35.33,63.73532,63799.05532
2010-12-01,SELL,TSLA,1804,34.35,61.967400000000005,62029.3674
2011-02-16,BUY,TSLA,2531,24.73,62.59163000000001,62654.22163000001
2011-02-17,SELL,TSLA,2531,23.6,59.73160000000001,59791.331600000005
2011-03-30,BUY,TSLA,2565,23.71,60.81615,60876.96615
2011-03-31,SELL,TSLA,2565,27.75,71.17875000000001,71249.92875
2011-04-01,BUY,TSLA,2511,26.66,66.94326,67010.20326
2011-04-04,SELL,TSLA,2511,25.83,64.85913,64923.989129999994
2011-04-05,BUY,TSLA,2458,26.7,65.62859999999999,65694.22859999999
2011-04-11,SELL,TSLA,2458,25.27,62.113659999999996,62175.77366
2011-05-10,BUY,TSLA,2239,28.33,63.43087,63494.30086999999
2011-05-11,SELL,TSLA,2239,27.07,60.609730000000006,60670.33973
2011-05-25,BUY,TSLA,2128,28.98,61.66944,61731.10944
2011-06-06,SELL,TSLA,2128,28.7,61.0736,61134.6736
2011-09-16,BUY,TSLA,2373,25.8,61.223400000000005,61284.623400000004
2011-09-28,SELL,TSLA,2373,24.59,58.35207,58410.42207
2011-10-05,BUY,TSLA,2343,25.37,59.44191000000001,59501.351910000005
2011-10-06,SELL,TSLA,2343,26.96,63.16728,63230.44728
2011-10-07,BUY,TSLA,2282,26.99,61.591179999999994,61652.771179999996
2011-10-18,SELL,TSLA,2282,28.34,64.67188,64736.55188
2011-11-03,BUY,TSLA,1952,32.46,63.36192,63425.28192
2011-11-07,SELL,TSLA,1952,31.27,61.03904,61100.079040000004
2011-11-11,BUY,TSLA,1840,33.64,61.8976,61959.497599999995
2011-11-18,SELL,TSLA,1840,32.6,59.984,60043.984
2012-02-14,BUY,TSLA,1829,33.17,60.66793,60728.59793
2012-02-17,SELL,TSLA,1829,34.97,63.96013,64024.09013
2012-02-22,BUY,TSLA,1829,34.22,62.58838,62650.96838
2012-02-27,SELL,TSLA,1829,33.62,61.49098,61552.47098
2012-03-12,BUY,TSLA,1718,36.01,61.865179999999995,61927.045179999994
2012-03-15,SELL,TSLA,1718,35.0,60.13,60190.13
2012-03-26,BUY,TSLA,1624,37.4,60.7376,60798.3376
2012-04-02,SELL,TSLA,1624,36.58,59.40592,59465.325919999996
2012-06-20,BUY,TSLA,1772,33.78,59.858160000000005,59918.01816000001
2012-06-21,SELL,TSLA,1772,32.19,57.040679999999995,57097.72067999999
2012-06-22,BUY,TSLA,1720,33.785,58.1102,58168.3102
2012-06-26,SELL,TSLA,1720,31.61,54.3692,54423.5692
2012-07-17,BUY,TSLA,1673,33.35,55.79455,55850.34455
2012-07-18,SELL,TSLA,1673,32.15,53.78695,53840.73695
2012-08-07,BUY,TSLA,1802,30.25,54.5105,54565.0105
2012-08-08,SELL,TSLA,1802,29.09,52.42018,52472.60018
2012-09-13,BUY,TSLA,1805,29.48,53.211400000000005,53264.6114
2012-09-17,SELL,TSLA,1805,32.54,58.7347,58793.4347
2012-09-18,BUY,TSLA,1801,31.34,56.44334,56499.783339999994
2012-09-21,SELL,TSLA,1801,30.02,54.066019999999995,54120.086019999995
2012-11-05,BUY,TSLA,1745,31.5,54.9675,55022.4675
2012-11-09,SELL,TSLA,1745,30.32,52.9084,52961.3084
2012-11-19,BUY,TSLA,1630,32.92,53.659600000000005,53713.259600000005
2012-11-23,SELL,TSLA,1630,32.13,52.371900000000004,52424.2719
2012-12-03,BUY,TSLA,1526,34.62,52.830119999999994,52882.950119999994
2012-12-04,SELL,TSLA,1526,33.9,51.7314,51783.1314
2012-12-11,BUY,TSLA,1477,35.28,52.108560000000004,52160.668560000006
2012-12-13,SELL,TSLA,1477,33.61,49.64197,49691.61197
2013-01-18,BUY,TSLA,1465,34.52,50.5718,50622.3718
2013-01-24,SELL,TSLA,1465,36.99,54.19035000000001,54244.54035
2013-01-28,BUY,TSLA,1385,38.03,52.67155,52724.22155
2013-02-14,SELL,TSLA,1385,38.3,53.0455,53098.54549999999
2013-03-25,BUY,TSLA,1408,37.53,52.842240000000004,52895.08224
2013-04-01,SELL,TSLA,1408,43.93,61.853440000000006,61915.29344
2013-04-02,BUY,TSLA,1312,44.34,58.174080000000004,58232.25408
2013-04-03,SELL,TSLA,1312,41.1,53.92320000000001,53977.1232
2013-04-30,BUY,TSLA,1029,53.99,55.55571,55611.26571
2013-05-06,SELL,TSLA,1029,59.5,61.225500000000004,61286.7255
2013-05-08,BUY,TSLA,1055,55.7865,58.8547575,58913.6122575
2013-05-09,SELL,TSLA,1055,69.4,73.217,73290.217
2013-05-10,BUY,TSLA,878,76.764,67.398792,67466.19079200001
2013-05-13,SELL,TSLA,878,87.8,77.0884,77165.48839999999
2013-05-14,BUY,TSLA,878,83.24,73.08472,73157.80472
2013-05-16,SELL,TSLA,878,92.248,80.993744,81074.73774400001
2013-05-17,BUY,TSLA,850,91.5,77.775,77852.775
2013-05-21,SELL,TSLA,850,87.59,74.4515,74525.9515
2013-05-28,BUY,TSLA,686,110.334,75.68912399999999,75764.813124
2013-05-29,SELL,TSLA,686,104.629,71.77549400000001,71847.26949400001
2013-07-02,BUY,TSLA,622,117.82,73.28403999999999,73357.32403999999
2013-07-03,SELL,TSLA,622,115.24,71.67928,71750.95928
2013-07-12,BUY,TSLA,556,129.9,72.22440000000002,72296.62440000002
2013-07-15,SELL,TSLA,556,127.26,70.75656,70827.31655999999
2013-08-08,BUY,TSLA,464,153.48,71.21472,71285.93472
2013-08-12,SELL,TSLA,464,147.38,68.38431999999999,68452.70431999999
2013-08-26,BUY,TSLA,423,164.22,69.46506,69534.52506
2013-09-09,SELL,TSLA,423,160.7,67.97609999999999,68044.07609999999
2013-09-19,BUY,TSLA,385,177.92,68.4992,68567.6992
2013-09-26,SELL,TSLA,385,188.64,72.62639999999999,72699.02639999999
2013-11-04,BUY,TSLA,404,175.2,70.78079999999999,70851.58079999998
2013-11-06,SELL,TSLA,404,151.16,61.06864,61129.70864
2013-12-03,BUY,TSLA,449,144.7,64.9703,65035.2703
2013-12-04,SELL,TSLA,449,138.95,62.388549999999995,62450.93855
2014-01-14,BUY,TSLA,392,161.27,63.21784,63281.05784
2014-01-16,SELL,TSLA,392,170.97,67.02024,67087.26024
2014-02-10,BUY,TSLA,333,196.56,65.45448,65519.93448
2014-02-20,SELL,TSLA,333,209.97,69.92000999999999,69989.93001
2014-02-25,BUY,TSLA,274,248.0,67.952,68019.952
2014-03-10,SELL,TSLA,274,238.84,65.44216,65507.60216
2014-04-02,BUY,TSLA,289,230.29,66.55381,66620.36381
2014-04-03,SELL,TSLA,289,225.4,65.1406,65205.7406
2014-06-16,BUY,TSLA,292,224.61,65.58612000000001,65651.70612000002
2014-06-23,SELL,TSLA,292,237.22,69.26824,69337.50824000001
2014-08-01,BUY,TSLA,290,233.27,67.6483,67715.9483
