date,equity
2010-06-29,99980.00407
2010-06-30,99929.78407
2010-07-01,98364.59407
2010-07-02,96054.47407
2010-07-06,93468.14407000001
2010-07-07,93208.67407000001
2010-07-08,94598.09407
2010-07-09,94547.87407
2010-07-12,94254.92407000001
2010-07-13,95167.25407
2010-07-14,96590.15407
2010-07-15,96632.00407
2010-07-16,97259.75407
2010-07-19,98322.74407
2010-07-20,96975.17407000001
2010-07-21,96908.21407
2010-07-22,97561.07407
2010-07-23,97803.80407
2010-07-26,97519.22407
2010-07-27,97184.42407000001
2010-07-28,97326.71407
2010-07-29,97017.02407
2010-07-30,96673.85407
2010-08-02,97494.11407000001
2010-08-03,98356.22407
2010-08-04,97778.69407
2010-08-05,97100.72407
2010-08-06,96380.90407
2010-08-09,96389.27407
2010-08-10,95912.18407
2010-08-11,94966.37407
2010-08-12,94715.27407
2010-08-13,95317.91407
2010-08-16,95702.93407
2010-08-17,96012.62407
2010-08-18,95694.56407000001
2010-08-19,95711.30407
2010-08-20,95970.77407
2010-08-23,96832.88407
2010-08-24,96054.47407
2010-08-25,96640.37407
2010-08-26,96514.82407
2010-08-27,96472.97407
2010-08-30,96615.26407
2010-08-31,96288.83407
2010-09-01,97100.72407
2010-09-02,97611.29407
2010-09-03,97602.92407000001
2010-09-07,97176.05407
2010-09-08,97477.37407
2010-09-09,97318.34407
2010-09-10,96866.36407000001
2010-09-13,97326.71407
2010-09-14,97661.51407
2010-09-15,98381.33407000001
2010-09-16,97510.85407
2010-09-17,96916.58407000001
2010-09-20,97607.10907
2010-09-21,97368.56407
2010-09-22,96615.26407
2010-09-23,96355.79407
2010-09-24,96807.77407
2010-09-27,97167.68407
2010-09-28,97895.87407
2010-09-29,98381.33407000001
2010-09-30,97063.05907
2010-10-01,97226.27407
2010-10-04,97552.70407
2010-10-05,97661.51407
2010-10-06,97109.09407
2010-10-07,97083.98407
2010-10-08,97083.98407
2010-10-11,96924.95407
2010-10-12,96924.95407
2010-10-13,97176.05407
2010-10-14,97351.82407
2010-10-15,97176.05407
2010-10-18,96916.58407000001
2010-10-19,96765.92407000001
2010-10-20,97268.12407
2010-10-21,97351.82407
2010-10-22,97326.71407
2010-10-25,97435.52407
2010-10-26,97862.39407000001
2010-10-27,97561.07407
2010-10-28,97720.10407
2010-10-29,98264.15407
2010-11-01,97904.24407
2010-11-02,97770.32407
2010-11-03,98205.56407
2010-11-04,100825.37407
2010-11-05,100440.35407
2010-11-08,100892.33407000001
2010-11-09,100599.38407
2010-11-10,104558.39407000001
2010-11-11,103449.36907
2010-11-12,104960.15407
2010-11-15,105763.67407000001
2010-11-16,104817.86407000001
2010-11-17,104667.20407
2010-11-18,105002.00407
2010-11-19,105922.70407
2010-11-22,107939.87407
2010-11-23,108919.16407
2010-11-24,109672.46407
2010-11-26,109546.91407
2010-11-29,108718.28407
2010-11-30,109555.28407
2010-12-01,108735.02407
2010-12-02,107061.02407
2010-12-03,106341.20407
2010-12-06,105353.54407
2010-12-07,106399.79407
2010-12-08,107077.76407
2010-12-09,106809.92407000001
2010-12-10,106366.31407
2010-12-13,105554.42407000001
2010-12-14,103863.68407
2010-12-15,104759.27407
2010-12-16,105772.04407
2010-12-17,106232.39407000001
2010-12-20,106516.97407
2010-12-21,106985.69407
2010-12-22,107295.38407
2010-12-23,105169.40407
2010-12-27,101368.58707000001
2010-12-28,102089.24407
2010-12-29,103194.08407000001
2010-12-30,102164.57407
2010-12-31,102273.38407
2011-01-03,102265.01407
2011-01-04,102306.86407000001
2011-01-05,102440.78407
2011-01-06,103319.63407
2011-01-07,103620.95407
2011-01-10,103796.72407
2011-01-11,102549.59407
2011-01-12,102549.59407
2011-01-13,101930.21407
2011-01-14,101536.82407
2011-01-18,101444.75407
2011-01-19,100097.18407
2011-01-20,98917.01407
