date,open,high,low,close,volume
2025-07-07,291.37,296.15,288.7701,293.94,131177949
2025-07-08,297.0,304.0499,294.35,297.81,103246742
2025-07-09,297.55,300.15,293.55,295.88,75586771
2025-07-10,300.05,310.48,300.0,309.87,104365271
2025-07-11,307.89,314.09,305.65,313.51,79236442
2025-07-14,317.73,322.5986,312.67,316.9,78043430
2025-07-15,319.675,321.2,310.5,310.78,77556346
2025-07-16,312.8,323.5,312.62,321.67,97284786
2025-07-17,323.15,324.34,317.0601,319.41,73922870
2025-07-18,321.66,330.9,321.42,329.65,94254993
2025-07-21,334.4,338.0,326.88,328.49,75768797
2025-07-22,329.74,335.4098,321.55,332.11,77370371
2025-07-23,330.9,336.2,328.67,332.56,92553756
2025-07-24,310.0,310.15,300.41,305.3,156966023
2025-07-25,308.74,323.63,308.01,316.06,148227027
2025-07-28,318.45,330.49,315.69,325.59,112673755
2025-07-29,325.55,326.25,318.25,321.2,87358861
2025-07-30,322.18,324.4499,311.6164,319.04,83931942
2025-07-31,319.605,321.37,306.1,308.27,85270919
2025-08-01,306.205,309.31,297.82,302.63,89121446
2025-08-04,309.08,312.1186,303.0001,309.26,78683905
2025-08-05,308.95,312.4499,305.5,308.72,57961278
2025-08-06,307.89,320.47,306.9345,319.91,78523579
2025-08-07,319.79,322.4,316.16,322.27,66658672
2025-08-08,321.43,335.15,320.98,329.65,91200319
2025-08-11,335.0,346.64,334.15,339.03,105320174
2025-08-12,345.0,345.26,332.94,340.84,80690111
2025-08-13,341.5,348.98,338.2,339.38,67838892
2025-08-14,335.76,340.4699,330.4,335.58,75000662
2025-08-15,337.655,339.3,327.02,330.56,74319792
2025-08-18,329.62,336.27,329.59,335.16,56956552
2025-08-19,335.79,340.55,327.85,329.31,75956002
2025-08-20,329.22,331.37,314.6,323.9,77481768
2025-08-21,322.08,324.9,318.68,320.11,55744445
2025-08-22,321.66,340.25,319.69,340.01,94016347
2025-08-25,338.9,349.53,335.03,346.6,86670037
2025-08-26,344.93,351.9,343.72,351.67,76651550
2025-08-27,351.94,355.39,349.156,349.6,65519012
2025-08-28,350.91,353.55,340.26,345.98,67903224
2025-08-29,347.23,348.7499,331.7,333.87,81145660
2025-09-02,328.23,333.33,325.6,329.36,58391952
2025-09-03,335.2,343.33,328.51,334.09,88238894
2025-09-04,336.15,338.89,331.48,338.53,60711033
2025-09-05,348.0,355.87,344.6801,350.84,108989785
2025-09-08,354.64,358.44,344.84,346.4,75208290
2025-09-09,348.44,350.77,343.82,346.97,53815991
2025-09-10,350.55,356.33,346.07,347.79,72121679
2025-09-11,350.17,368.99,347.6,368.81,103756010
2025-09-12,370.94,396.6899,370.24,395.94,168156391
2025-09-15,423.13,425.7,402.43,410.04,163823667
2025-09-16,414.495,423.25,411.43,421.62,104285721
2025-09-17,415.75,428.3121,409.67,425.86,106133532
2025-09-18,428.865,432.2199,416.56,416.85,90454509
2025-09-19,421.82,429.47,421.72,426.07,93131034
2025-09-22,431.11,444.98,429.13,434.21,97108777
2025-09-23,439.88,440.97,423.72,425.85,83422691
2025-09-24,429.83,444.21,429.0301,442.79,93133570
2025-09-25,435.24,435.35,419.08,423.39,96746426
2025-09-26,428.3,440.47,421.02,440.4,101628160
2025-09-29,444.35,450.98,439.5,443.21,79491510
2025-09-30,441.52,445.0,433.12,444.72,74357960
2025-10-01,443.8,462.29,440.75,459.46,98122285
2025-10-02,470.54,470.75,435.57,436.0,137008950
2025-10-03,443.285,446.77,416.575,429.83,133188180
2025-10-06,440.75,453.55,436.69,453.25,85324878
2025-10-07,447.82,452.68,432.4501,433.09,102296082
2025-10-08,437.57,441.33,425.23,438.69,71192128
2025-10-09,431.81,436.35,426.18,435.54,69339928
2025-10-10,436.54,443.13,411.45,413.49,112107870
2025-10-13,423.53,436.89,419.7,435.9,79552785
2025-10-14,426.79,434.2,417.86,429.24,72669438
2025-10-15,434.9,440.51,426.3301,435.15,71558185
2025-10-16,434.73,439.35,421.3101,428.75,77189889
2025-10-17,425.5,441.4558,423.6,439.31,89331578
2025-10-20,443.865,449.8,440.61,447.43,63718971
2025-10-21,445.755,449.3,442.05,442.6,54412169
2025-10-22,443.45,445.539,429.0,438.97,84023458
2025-10-23,420.0,449.3999,413.9,448.98,126709833
2025-10-24,446.83,451.68,430.17,433.72,94727774
2025-10-27,439.98,460.16,438.69,452.42,105867547
2025-10-28,454.775,467.0,451.6,460.55,80185667
2025-10-29,462.5,465.7,452.65,461.51,67983544
2025-10-30,451.05,455.0607,439.61,440.1,72447938
2025-10-31,446.75,458.0,443.6855,456.56,83135787
2025-11-03,455.99,474.07,453.8,468.37,84595244
2025-11-04,454.46,460.22,443.6,444.26,87756644
2025-11-05,452.05,466.3299,440.71,462.07,84911911
2025-11-06,461.96,467.45,435.09,445.91,109622907
2025-11-07,437.92,439.36,421.88,429.52,103471495
2025-11-10,439.6,449.6715,433.36,445.23,76515907
2025-11-11,439.4,442.49,432.36,439.62,60533237
2025-11-12,442.15,442.329,426.56,430.6,58513520
2025-11-13,423.13,424.5,396.34,401.99,118948032
2025-11-14,386.3,412.19,382.78,404.35,105506682
2025-11-17,398.74,423.96,398.74,408.92,102214259
2025-11-18,405.38,408.9,393.71,401.25,80688637
2025-11-19,406.18,411.78,398.5,403.99,72047704
2025-11-20,414.63,428.94,394.74,395.23,113548827
2025-11-21,402.32,402.8,383.76,391.09,100460633
2025-11-24,402.17,421.72,401.09,417.78,96806374
